"Year","Stage","Variable","Coefficient","SE","Z_value","P_value"
"2004","2SRI_Stage1_Csection","mother_education",-0.111327783308608,0.0619285148186458,-1.79768211194189,0.0722273977206938
"2004","2SRI_Stage1_Csection","partner_edu",-0.049954211881421,0.055035801429548,-0.907667565182421,0.364053885353192
"2004","2SRI_Stage1_Csection","media_exposure",-0.144476196482111,0.0535550133627286,-2.69771562754681,0.00698170528610713
"2004","2SRI_Stage1_Csection","mother_working",0.236078937411119,0.0972965377313047,2.42638579867125,0.0152500490904504
"2004","2SRI_Stage1_Csection","pregnancy_terminated",-0.0399042872036494,0.0996008356928752,-0.400642092268146,0.688683650719818
"2004","2SRI_Stage1_Csection","resid_csec",1.23392827424415,0.952287128589682,1.2957523389732,0.195060823084151
"2011","2SRI_Stage1_Csection","(Intercept)",-0.645032059867032,0.263682131749785,-2.4462486539631,0.0144351407303651
"2011","2SRI_Stage1_Csection","c_section_yes",-0.513167261701046,0.527251811069472,-0.973286863937257,0.330410749279198
"2011","2SRI_Stage1_Csection","birth_single",-0.977623043045568,0.243185146795551,-4.02007711378635,5.8179094778177e-05
"2011","2SRI_Stage1_Csection","contraceptive_type",-0.181442702426066,0.0359687008855821,-5.04446082173615,4.54802005588678e-07
"2011","2SRI_Stage1_Csection","mother_education",-0.00484275947250566,0.0671698971934213,-0.07209716963777,0.942524578667551
"2011","2SRI_Stage1_Csection","partner_edu",0.0279332543760413,0.0633383988454359,0.441016111635639,0.659201333003035
"2011","2SRI_Stage1_Csection","media_exposure",0.0101633069859708,0.0568882548832491,0.178653871644134,0.858209491441734
"2011","2SRI_Stage1_Csection","mother_working",0.323244652736698,0.117445799957634,2.75228788814332,0.00591804702348811
"2011","2SRI_Stage1_Csection","pregnancy_terminated",0.236428987027438,0.0947076620427954,2.49640823063083,0.0125458126235612
"2011","2SRI_Stage1_Csection","resid_csec",0.673393342282508,0.541511987701334,1.24354281636681,0.213667873368332
"2017-2018","2SRI_Stage1_Csection","(Intercept)",-0.517853532534378,0.319480291992924,-1.6209248129329,0.105033764624519
"2017-2018","2SRI_Stage1_Csection","c_section_yes",0.218416783028885,0.484659516809473,0.450660258291694,0.65223442949655
"2017-2018","2SRI_Stage1_Csection","birth_single",-0.687031138454092,0.28904476248769,-2.37690222282907,0.0174587153251372
"2017-2018","2SRI_Stage1_Csection","contraceptive_type",-0.253442735190581,0.0420877406423576,-6.02177097944558,1.72518890460587e-09
"2017-2018","2SRI_Stage1_Csection","mother_education",-0.0890411645747601,0.0804174729529349,-1.10723654083078,0.268191672884423
"2017-2018","2SRI_Stage1_Csection","partner_edu",-0.0758227408790259,0.0709166475783917,-1.06918112274288,0.284988063123134
"2017-2018","2SRI_Stage1_Csection","media_exposure",-0.0647700971987942,0.0667265583658366,-0.970679423381679,0.331707941535754
"2017-2018","2SRI_Stage1_Csection","mother_working",0.0822361621472108,0.0966161184473334,0.851164003157907,0.394678255861498
"2017-2018","2SRI_Stage1_Csection","pregnancy_terminated",-0.0151148201461916,0.120307657951915,-0.125634730186775,0.900021070049558
"2017-2018","2SRI_Stage1_Csection","resid_csec",-0.386771558035759,0.495462694222605,-0.780627002891942,0.435021905218057
"2022","2SRI_Stage1_Csection","(Intercept)",-0.19415641878466,0.283491366125803,-0.684875950326122,0.493422203209234
"2022","2SRI_Stage1_Csection","c_section_yes",-0.259830581429706,0.343767694745097,-0.755831875424971,0.449750002868168
"2022","2SRI_Stage1_Csection","birth_single",-1.01882369757957,0.230972899154141,-4.41100969555591,1.02889710448121e-05
"2022","2SRI_Stage1_Csection","contraceptive_type",-0.241953455351962,0.0349279877940753,-6.92720854056769,4.29225633137126e-12
"2022","2SRI_Stage1_Csection","mother_education",0.0550059429827431,0.0748371555837527,0.735008466766005,0.4623343377059
"2022","2SRI_Stage1_Csection","partner_edu",-0.133510157617099,0.0623688717893829,-2.14065372335028,0.0323019729620551
"2022","2SRI_Stage1_Csection","media_exposure",-0.0780924489467532,0.0723183179553446,-1.07984327006851,0.280211979019665
"2022","2SRI_Stage1_Csection","mother_working",0.219235269054285,0.0981295169558778,2.23414193664951,0.0254737354266689
"2022","2SRI_Stage1_Csection","pregnancy_terminated",0.223583278935051,0.100538127547026,2.22386555618386,0.0261574910927831
"2022","2SRI_Stage1_Csection","resid_csec",-0.00974847240983067,0.357535231780303,-0.0272657672400265,0.978247760496588
"2004","2SRI_Stage2_ANC","(Intercept)",0.291331068046814,0.298976387521627,0.974428350217924,0.329843898681813
"2004","2SRI_Stage2_ANC","anc_4plus",-0.0189232043781757,0.419385554061132,-0.0451212594113752,0.964010656118296
"2004","2SRI_Stage2_ANC","c_section_yes",0.585005541175836,0.182698190213751,3.20203249135308,0.00136461605284732
"2004","2SRI_Stage2_ANC","birth_single",-1.17553701891079,0.248012085834201,-4.73983763717324,2.13889542212611e-06
"2004","2SRI_Stage2_ANC","contraceptive_type",-0.200139234110316,0.0385887524383175,-5.18646552334725,2.14322678276128e-07
"2004","2SRI_Stage2_ANC","mother_education",-0.144652094932713,0.0674550144923131,-2.14442315402952,0.0319989966731696
"2004","2SRI_Stage2_ANC","partner_edu",-0.0787218500445911,0.057076177387493,-1.37924180714039,0.167820211961257
"2004","2SRI_Stage2_ANC","media_exposure",-0.162984395932754,0.0548563858423452,-2.97111071810608,0.00296724785863552
"2004","2SRI_Stage2_ANC","mother_working",0.232830587862444,0.097672875004752,2.38377940498952,0.0171358707794827
"2004","2SRI_Stage2_ANC","pregnancy_terminated",-0.0592342930803536,0.0998007243529256,-0.593525682948785,0.552829400209358
"2004","2SRI_Stage2_ANC","resid_anc",-0.141961147603836,0.436267184102777,-0.325399555081807,0.744878692200897
"2011","2SRI_Stage2_ANC","(Intercept)",-0.619938771299871,0.268092410477272,-2.31240701740204,0.0207552640155547
