"Year","N","IV","Confounder","Coefficient","SE","P_value","Significant"
"2011",4661,"ANC IV","mother_education",0.894711091622877,0.0484658267385124,1.69149914580957e-73,TRUE
"2011",4661,"ANC IV","partner_edu",0.928942376937734,0.0565950861177981,6.66518276714245e-59,TRUE
"2011",4661,"ANC IV","media_exposure",0.55248945997667,0.0399209036727925,1.01925100725205e-42,TRUE
"2011",4661,"ANC IV","mother_working",0.0866377601883137,0.015870391663751,5.03445073687371e-08,TRUE
"2011",4661,"ANC IV","pregnancy_terminated",0.0145592907169862,0.0216325553930662,0.500963587168445,FALSE
"2017-2018",4793,"C-section IV","birth_single",-0.00946772606996515,0.00568896320406771,0.0961324718225192,FALSE
"2017-2018",4793,"C-section IV","contraceptive_type",0.141418119812907,0.0548191367405254,0.00991751572599123,TRUE
"2017-2018",4793,"C-section IV","mother_education",0.76831666437388,0.0446510376836078,1.95909242084864e-64,TRUE
"2017-2018",4793,"C-section IV","partner_edu",0.801621926579238,0.052682542996192,4.25724178958052e-51,TRUE
"2017-2018",4793,"C-section IV","media_exposure",0.419382580575328,0.0383496755414163,1.64018136075833e-27,TRUE
"2017-2018",4793,"C-section IV","mother_working",-0.183543887346286,0.0272999696298984,1.98530690337472e-11,TRUE
"2017-2018",4793,"C-section IV","pregnancy_terminated",0.0451950515397641,0.021116646221959,0.0323843467645872,TRUE
"2017-2018",4793,"ANC IV","birth_single",0.00281999842355633,0.00527119173282207,0.592686380753597,FALSE
"2017-2018",4793,"ANC IV","contraceptive_type",0.277257145226405,0.0506574464717684,4.64566481767925e-08,TRUE
"2017-2018",4793,"ANC IV","mother_education",0.602367627981147,0.0417223206901927,2.77881860736691e-46,TRUE
"2017-2018",4793,"ANC IV","partner_edu",0.676164533998777,0.0490021665356859,1.67186464517887e-42,TRUE
"2017-2018",4793,"ANC IV","media_exposure",0.323691170376141,0.0356595487329126,1.59381854110093e-19,TRUE
"2017-2018",4793,"ANC IV","mother_working",-0.0169383309937325,0.0254064686516044,0.50499994776756,FALSE
"2017-2018",4793,"ANC IV","pregnancy_terminated",0.0155875054854191,0.0195689205489356,0.425755402808538,FALSE
"2022",4671,"C-section IV","birth_single",0.00439930269541709,0.00535100139591279,0.41103597053816,FALSE
"2022",4671,"C-section IV","contraceptive_type",0.178619658429776,0.0561840546387428,0.00148653627088138,TRUE
"2022",4671,"C-section IV","mother_education",0.524838995099921,0.0393793824123367,8.44866344112116e-40,TRUE
"2022",4671,"C-section IV","partner_edu",0.743611857528762,0.0491997430813399,2.00357988810002e-50,TRUE
"2022",4671,"C-section IV","media_exposure",0.336907807773937,0.0317229870217978,4.74374291804802e-26,TRUE
"2022",4671,"C-section IV","mother_working",-0.0269716161114668,0.021057405668044,0.2003060048089,FALSE
"2022",4671,"C-section IV","pregnancy_terminated",0.0189817650934669,0.0202822840325138,0.349383857224129,FALSE
"2022",4671,"ANC IV","birth_single",0.0121252593842598,0.00576624107243489,0.035536533541625,TRUE
"2022",4671,"ANC IV","contraceptive_type",0.176568049420206,0.0605786708898644,0.0035773446178776,TRUE
"2022",4671,"ANC IV","mother_education",0.472315280717167,0.0426963446379388,4.26287277129523e-28,TRUE
"2022",4671,"ANC IV","partner_edu",0.677383202055111,0.0534086872822952,2.8944862855454e-36,TRUE
"2022",4671,"ANC IV","media_exposure",0.350007258808106,0.0342278563483859,2.73569197456731e-24,TRUE
"2022",4671,"ANC IV","mother_working",-0.0349200049151115,0.0226988031239716,0.124016816338954,FALSE
"2022",4671,"ANC IV","pregnancy_terminated",0.0104581739980699,0.0218664762276624,0.632477366031483,FALSE
